shingle,notice_id
41 057 litre,N005299
chainage 8 625,N005299
signs 88 011,N005299
82 705 of,N005299
structures 64 976,N005299
bids 25 dec,N005299
rs 134 70,N005299
266 and 82,N005299
64 976 cum,N005299
3 659 rmt,N005299
625 and 78,N005299
years rs 194,N005299
panel 3 659,N005299
foundation 7 499,N005299
78 796 of,N005299
and 62 820,N005299
ramakrishna kamath public,N005299
239 and 88,N005299
7 499 cum,N005299
and 88 052,N005299
456 and 62,N005299
88 052 of,N005299
and 82 705,N005299
947862 electronic mail,N005299
beads 41 057,N005299
2 69 lakh,N005299
62 820 of,N005299
telephone 04159 947862,N005299
04159 947862 electronic,N005299
78 322 sqm,N005299
134 70 lakh,N005299
and 78 796,N005299
sivaganga sivaganga name,N005299
chainage 22 266,N005299
22 266 and,N005299
chainage 16 239,N005299
16 239 and,N005299
staging 78 322,N005299
engineer ramakrishna kamath,N005299
mail kamath sivaganga,N005299
tender rs 134,N005299
19 456 and,N005299
chainage 19 456,N005299
bids 26 dec,N005299
centre at sivaganga,N005299
dec 24 at,N005299
2025 72441 procuring,N005307
road 2025 72441,N005307
72441 procuring entity,N005307
80 243 experience,N005307
28 758 bid,N005307
55 28 758,N005307
72 80 243,N005307
rs 55 28,N005307
siddipet telephone 01930,N005307
foundation 9 255,N005307
58 648 each,N005307
chainage 14 763,N005307
54 975 each,N005307
chainage 28 182,N005307
8 360 and,N005307
panel 9 145,N005307
82 284 mt,N005307
42 449 sqm,N005307
93 292 cum,N005307
360 and 73,N005307
14 763 and,N005307
1786 27 731,N005307
signs 34 817,N005307
73 597 of,N005307
telephone 01930 908602,N005307
758 and 41,N005307
structures 95 231,N005307
908602 electronic mail,N005307
finisher 45 920,N005307
16 218 and,N005307
43 666 of,N005307
chainage 21 043,N005307
19 076 sqm,N005307
60 121 of,N005307
27 731 quintal,N005307
58 800 quintal,N005307
chainage 34 360,N005307
spoil 44 753,N005307
95 231 sqm,N005307
jointing 42 449,N005307
officer suryakant nair,N005307
chainage 13 692,N005307
692 and 60,N005307
driver 51 401,N005307
and 43 666,N005307
and 76 198,N005307
758 bid validity,N005307
20 127 sqm,N005307
staging 58 648,N005307
01930 908602 electronic,N005307
nair siddipet road,N005307
28 182 and,N005307
bitumen 93 292,N005307
360 and 81,N005307
surfaces 82 284,N005307
wiring 58 800,N005307
70 367 of,N005307
34 360 and,N005307
76 198 of,N005307
13 692 and,N005307
and 70 367,N005307
44 753 litre,N005307
chainage 16 218,N005307
suryakant nair road,N005307
955 and 81,N005315
771810 electronic mail,N005315
deshpande latur zilla,N005315
revathi deshpande zilla,N005315
chainage 20 725,N005315
51 827 of,N005315
50 687 rmt,N005315
07140 771810 electronic,N005315
latur telephone 07140,N005315
627 and 63,N005315
69 050 of,N005315
bitumen 89 622,N005315
and 69 050,N005315
rs 39 25,N005315
907 and 55,N005315
36 559 experience,N005315
wiring 50 687,N005315
works revathi deshpande,N005315
16 81 00,N005315
spoil 59 698,N005315
and 81 378,N005315
340 and 51,N005315
finisher 23 805,N005315
305 and 69,N005315
and 51 827,N005315
and 82 731,N005315
telephone 07140 771810,N005315
25 36 559,N005315
23 805 litre,N005315
685 and 54,N005315
55 124 of,N005315
2025 w 98280,N005315
8 96 06,N005315
81 378 of,N005315
82 731 of,N005315
and 55 124,N005315
w 98280 procuring,N005315
39 25 36,N005315
98280 procuring entity,N005315
89 622 each,N005315
59 698 cum,N005315
96 06 820,N005315
20 725 and,N005315
06 820 bid,N005315
33 62 000,N005315
63 110 of,N005315
rs 33 62,N005315
and 63 110,N005315
rs 16 81,N005315
6 340 and,N005315
chainage 6 340,N005315
chainage 32 955,N005315
559 experience of,N005315
32 955 and,N005315
and 54 268,N005315
725 and 82,N005315
54 268 of,N005315
mail deshpande latur,N005315
6 627 and,N005315
chainage 6 627,N005315
rs 8 96,N005315
chainage 37 305,N005315
820 bid validity,N005315
37 305 and,N005315
14632 procuring entity,N005323
near barmer barmer,N005323
2024 14632 procuring,N005323
ref 2024 14632,N005323
structures 46 937,N005323
17 85 424,N005323
staging 9 000,N005323
35 497 quintal,N005323
87 074 sqm,N005323
46 937 mt,N005323
material 10 001,N005323
bitumen 7 949,N005323
jointing 179 cum,N005323
rs 94 93,N005323
beads 51 424,N005323
thick 35 497,N005323
signs 17 955,N005323
3 17 85,N005323
wiring 21 421,N005323
driver 70 939,N005323
94 93 570,N005323
51 380 each,N005323
transformer 87 074,N005323
spoil 9 375,N005323
windows 57 381,N005323
including jointing 179,N005323
46 128 mt,N005323
bids apr 28,N005323
surfaces 51 497,N005323
foundation 46 128,N005323
9 000 rmt,N005323
21 421 sqm,N005323
trenching 51 380,N005323
bandyopadhyay barmer department,N005323
10 001 rmt,N005323
93 570 bid,N005323
70 939 rmt,N005323
1786 40 868,N005323
85 424 experience,N005323
9 375 cum,N005323
05259 788339 electronic,N005323
40 868 rmt,N005323
meenakshi bandyopadhyay department,N005323
17 955 sqm,N005323
barmer telephone 05259,N005323
57 381 rmt,N005323
51 497 each,N005323
788339 electronic mail,N005323
telephone 05259 788339,N005323
chainage 35 050,N005323
27 323 and,N005323
323 and 56,N005323
chainage 27 323,N005323
and 56 770,N005323
chainage 12 783,N005323
411 and 87,N005323
and 47 700,N005323
and 75 723,N005323
35 050 and,N005323
ghaggar near barmer,N005323
4 424 and,N005323
and 53 267,N005323
699 and 75,N005323
12 783 and,N005323
spoil 73 192,N005331
125 31 lakh,N005331
15 809 and,N005331
904 and 79,N005331
22 25 lakh,N005331
63 217 rmt,N005331
79 704 of,N005331
and 74 219,N005331
muni 67576 25,N005331
2 904 and,N005331
chainage 2 904,N005331
73 192 each,N005331
finisher 78 333,N005331
82 681 quintal,N005331
400859 electronic mail,N005331
chainage 15 809,N005331
telephone 01994 400859,N005331
foundation 63 217,N005331
78 333 each,N005331
works meenakshi vaidyanathan,N005331
61 20 lakh,N005331
foundation 82 681,N005331
meenakshi vaidyanathan municipal,N005331
01994 400859 electronic,N005331
13 sep 24,N005331
rs 125 31,N005331
cooch telephone 01994,N005331
number muni 67576,N005331
rs 22 25,N005331
74 219 of,N005331
67576 25 procuring,N005331
and 79 704,N005331
sep 24 last,N005331
67 289 of,N005331
and 67 289,N005331
notice 13 sep,N005331
22 oct 24,N005331
rs 61 20,N005331
vaidyanathan cooch municipal,N005331
809 and 48,N005331
23 oct 24,N005331
1 22 lakh,N005331
3 356 and,N005331
chainage 3 356,N005331
356 and 67,N005331
chainage 13 465,N005331
cooch city name,N005331
mail vaidyanathan cooch,N005331
13 465 and,N005331
and 48 729,N005331
48 729 of,N005331
oct 24 at,N005331
municipal corporation cooch,N005331
cooch municipal gov,N005331
681 quintal at,N005331
years rs 125,N005331
bids 23 oct,N005331
corporation cooch telephone,N005331
cooch city including,N005331
infrastructure for cooch,N005331
cooch city tender,N005331
for cooch city,N005331
084623 procuring entity,N005339
2024 25 084623,N005339
25 084623 procuring,N005339
inr 1 893,N005339
1 893 cr,N005339
inr 4 402,N005339
4 402 cr,N005339
2 874 cr,N005339
inr 2 874,N005339
staging 27 755,N005339
4 113 quintal,N005339
foundation 81 928,N005339
81 551 cum,N005339
34 530 cum,N005339
signs 5 598,N005339
58 831 quintal,N005339
mm thick 666,N005339
1786 15 926,N005339
class 22 718,N005339
finisher 34 530,N005339
driver 11 038,N005339
transformer 62 062,N005339
mm 3 773,N005339
thick 666 litre,N005339
874 cr earnest,N005339
81 928 mt,N005339
22 718 quintal,N005339
84 289 litre,N005339
86 743 cum,N005339
07271 767648 electronic,N005339
telephone 07271 767648,N005339
spoil 84 289,N005339
jointing 7 230,N005339
surfaces 4 113,N005339
62 062 sqm,N005339
15 926 litre,N005339
5 598 mt,N005339
767648 electronic mail,N005339
3 773 litre,N005339
raichur telephone 07271,N005339
66 227 cum,N005339
structures 66 227,N005339
11 038 sqm,N005339
section 58 831,N005339
beads 86 743,N005339
7 230 each,N005339
12 064 and,N005339
402 cr experience,N005339
60 715 litre,N005339
material 63 476,N005339
87 075 quintal,N005339
893 cr bid,N005339
panel 87 075,N005339
director meenakshi nair,N005339
50 907 of,N005339
bitumen 60 466,N005339
and 76 452,N005339
and 58 471,N005339
and 43 427,N005339
76 452 of,N005339
85 946 of,N005339
47 190 sqm,N005339
587 and 50,N005339
73 011 mt,N005339
tender 156400000 earnest,N005347
66645167 bid validity,N005347
to tender 156400000,N005347
00012848 procuring entity,N005347
financial years 271569797,N005347
at khammam abstra,N005347
years 271569797 experience,N005347
than 66645167 bid,N005347
money deposit 3128000,N005347
3128000 cost of,N005347
271569797 experience of,N005347
156400000 earnest money,N005347
deposit 3128000 cost,N005347
less than 66645167,N005347
number 00012848 procuring,N005347
reference number 00012848,N005347
89 990 of,N005347
31 151 and,N005347
151 and 67,N005347
and 89 990,N005347
2 993 and,N005347
chainage 2 993,N005347
chainage 31 151,N005347
and 67 968,N005347
67 926 of,N005347
chainage 12 328,N005347
67 968 of,N005347
and 67 926,N005347
12 328 and,N005347
993 and 67,N005347
328 and 89,N005347
67 938 of,N005355
56 936 litre,N005355
bitumen 48 533,N005355
staging 74 553,N005355
31 545 cum,N005355
inr 0 789,N005355
17 439 and,N005355
74 553 mt,N005355
8 382 litre,N005355
chainage 17 439,N005355
67 209 cum,N005355
0 789 cr,N005355
mm 56 936,N005355
pit 31 545,N005355
chainage 33 754,N005355
2025 26 078013,N005355
25 751 and,N005355
937 and 46,N005355
and 46 934,N005355
structures 4 139,N005355
46 934 of,N005355
0 217 cr,N005355
and 67 938,N005355
078013 procuring entity,N005355
217 cr bid,N005355
789 cr experience,N005355
84 794 of,N005355
751 and 67,N005355
33 754 and,N005355
chainage 25 751,N005355
inr 0 217,N005355
panel 8 382,N005355
4 139 litre,N005355
26 078013 procuring,N005355
and 84 794,N005355
439 and 79,N005355
50 011 of,N005355
thick 67 209,N005355
and 50 011,N005355
1 937 and,N005355
construction of r,N005355
chainage 1 937,N005355
of r entry,N005355
932 and 84,N005355
jhunjhunu jhunjhunu state,N005355
0 372 cr,N005355
5 932 and,N005355
inr 0 372,N005355
chainage 5 932,N005355
372 cr earnest,N005355
and 79 408,N005355
79 408 of,N005355
48 533 cum,N005355
754 and 50,N005355
dispensary at jhunjhunu,N005355
electricity board jhunjhunu,N005355
board jhunjhunu district,N005355
209 cum at,N005355
2024 25 078907,N005363
68 753 each,N005363
12 750 cum,N005363
19 961 and,N005363
class 69 488,N005363
buldhana telephone 06212,N005363
60 870 quintal,N005363
49 584 quintal,N005363
6 885 cr,N005363
foundation 45 014,N005363
70 587 litre,N005363
801711 electronic mail,N005363
46 446 mt,N005363
structures 46 446,N005363
mm 59 817,N005363
59 817 each,N005363
and 42 053,N005363
panel 97 633,N005363
27 211 rmt,N005363
trenching 70 587,N005363
29 215 quintal,N005363
staging 30 360,N005363
beads 11 204,N005363
inr 3 676,N005363
4 647 and,N005363
chainage 4 647,N005363
402 and 79,N005363
42 774 rmt,N005363
works umashankar bhardwaj,N005363
75 378 litre,N005363
3 676 cr,N005363
25 078907 procuring,N005363
windows 68 753,N005363
spoil 60 870,N005363
pit 57 948,N005363
57 948 litre,N005363
45 014 each,N005363
42 053 of,N005363
thick 28 966,N005363
material 58 343,N005363
734 and 69,N005363
inr 6 885,N005363
28 966 quintal,N005363
umashankar bhardwaj rural,N005363
driver 74 845,N005363
961 and 42,N005363
bhardwaj buldhana rural,N005363
06212 801711 electronic,N005363
58 343 rmt,N005363
jointing 27 211,N005363
section 42 948,N005363
finisher 29 215,N005363
surfaces 12 750,N005363
97 633 mt,N005363
69 154 of,N005363
74 845 mt,N005363
69 488 each,N005363
foundation 75 378,N005363
and 69 154,N005363
wiring 42 774,N005363
30 360 sqm,N005363
bitumen 49 584,N005363
42 948 sqm,N005363
telephone 06212 801711,N005363
2024 25 071605,N005371
thick 50 004,N005371
30 619 rmt,N005371
16 820 each,N005371
material 64 519,N005371
33 480 litre,N005371
buldhana telephone 05316,N005371
chainage 23 901,N005371
93 263 mt,N005371
inr 5 340,N005371
class 82 823,N005371
structures 93 263,N005371
50 004 quintal,N005371
68 823 quintal,N005371
spoil 91 378,N005371
59 608 cum,N005371
76 993 rmt,N005371
surfaces 31 417,N005371
and 82 243,N005371
pit 16 820,N005371
351 cr bid,N005371
transformer 76 993,N005371
driver 18 222,N005371
83 576 rmt,N005371
1786 16 996,N005371
553664 electronic mail,N005371
trenching 33 480,N005371
works devendra gopalakrishnan,N005371
72 323 sqm,N005371
10 299 and,N005371
23 901 and,N005371
chainage 18 380,N005371
91 378 cum,N005371
18 380 and,N005371
beads 71 088,N005371
40 816 rmt,N005371
82 243 of,N005371
wiring 72 323,N005371
mm 59 608,N005371
25 071605 procuring,N005371
windows 71 384,N005371
telephone 05316 553664,N005371
380 and 58,N005371
548 and 79,N005371
finisher 83 576,N005371
foundation 23 443,N005371
95 405 quintal,N005371
292 and 75,N005371
5 340 cr,N005371
36 713 and,N005371
64 519 litre,N005371
section 95 405,N005371
signs 30 619,N005371
071605 procuring entity,N005371
05316 553664 electronic,N005371
and 75 426,N005371
31 417 quintal,N005371
jointing 68 823,N005371
71 384 rmt,N005371
chainage 30 382,N005371
staging 15 828,N005371
30 382 and,N005371
16 996 litre,N005371
bitumen 27 735,N005371
w 31177 procuring,N005379
2024 w 31177,N005379
31177 procuring entity,N005379
232 and 67,N005379
89 470 mt,N005379
801444 electronic mail,N005379
56 84 954,N005379
and 71 082,N005379
telephone 09040 801444,N005379
78 010 of,N005379
289 and 60,N005379
signs 89 470,N005379
panel 41 945,N005379
43 168 of,N005379
60 00 567,N005379
foundation 18 837,N005379
44 433 of,N005379
5 899 and,N005379
10 726 mt,N005379
transformer 33 359,N005379
structures 88 686,N005379
surfaces 67 774,N005379
60 374 of,N005379
18 837 quintal,N005379
67 774 quintal,N005379
foundation 43 185,N005379
wiring 797 sqm,N005379
68 388 sqm,N005379
and 78 010,N005379
85 122 mt,N005379
017 and 71,N005379
39 743 litre,N005379
bitumen 20 121,N005379
medak telephone 09040,N005379
jointing 85 122,N005379
mm 59 740,N005379
16 119 litre,N005379
chainage 8 952,N005379
59 740 each,N005379
chainage 5 899,N005379
trenching 39 743,N005379
43 185 litre,N005379
9 021 litre,N005379
material 53 013,N005379
1 05 20,N005379
77 174 cum,N005379
class 9 021,N005379
thick 9 556,N005379
33 359 mt,N005379
conductor wiring 797,N005379
34 644 litre,N005379
and 67 529,N005379
and 60 374,N005379
spoil 16 119,N005379
chainage 15 232,N005379
00 567 experience,N005379
and 43 168,N005379
53 013 mt,N005379
952 and 60,N005379
medak city name,N005379
rs 56 84,N005379
driver 68 388,N005379
8 952 and,N005379
section 10 726,N005379
403 and 62,N005387
mail hegde jalaun,N005387
14 952 and,N005387
10 550 and,N005387
jalaun to ganjam,N005387
and 78 551,N005387
rs 1050 89,N005387
09509 816949 electronic,N005387
659 00 lakh,N005387
026 and 78,N005387
jalaun telephone 09509,N005387
1050 89 lakh,N005387
78 551 of,N005387
0037299 procuring entity,N005387
rs 659 00,N005387
2024 0037299 procuring,N005387
18 480 each,N005387
816949 electronic mail,N005387
staging 79 859,N005387
than rs 320,N005387
28 323 and,N005387
78 569 of,N005387
signs 80 109,N005387
tender rs 659,N005387
62 896 of,N005387
80 109 litre,N005387
finisher 75 557,N005387
44 449 mt,N005387
hegde jalaun public,N005387
32 303 mt,N005387
chainage 28 323,N005387
554 and 57,N005387
79 859 each,N005387
11 403 and,N005387
72 357 of,N005387
320 90 lakh,N005387
chainage 11 403,N005387
chainage 10 550,N005387
75 557 litre,N005387
323 and 78,N005387
npas 2024 0037299,N005387
and 72 357,N005387
mm 32 303,N005387
rs 320 90,N005387
13 18 lakh,N005387
and 78 569,N005387
chainage 14 952,N005387
telephone 09509 816949,N005387
class 18 480,N005387
years rs 1050,N005387
and 62 896,N005387
952 and 72,N005387
to ganjam government,N005387
550 and 62,N005387
chainage 12 554,N005387
and 57 215,N005387
57 215 of,N005387
saraswathi hegde public,N005387
12 554 and,N005387
pit 44 449,N005387
engineer saraswathi hegde,N005387
and 62 561,N005387
chainage 10 026,N005387
10 026 and,N005387
2025 21601 procuring,N005395
65 489 of,N005395
606789 electronic mail,N005395
telephone 08886 606789,N005395
finisher 23 126,N005395
51 735 experience,N005395
58 630 quintal,N005395
23 126 sqm,N005395
depa 2025 21601,N005395
chainage 38 366,N005395
31 949 bid,N005395
nandini bhardwaj department,N005395
38 366 and,N005395
47 771 rmt,N005395
panel 92 523,N005395
94 263 mt,N005395
21601 procuring entity,N005395
08886 606789 electronic,N005395
8 785 and,N005395
foundation 84 695,N005395
class 47 771,N005395
and 65 489,N005395
785 and 51,N005395
94 51 735,N005395
5 65 31,N005395
11 94 51,N005395
366 and 65,N005395
driver 24 137,N005395
city karur name,N005395
54 185 litre,N005395
mm 22 264,N005395
92 523 cum,N005395
457 and 42,N005395
397 and 75,N005395
surfaces 94 263,N005395
chainage 8 785,N005395
karur telephone 08886,N005395
84 695 rmt,N005395
bitumen 58 630,N005395
65 31 949,N005395
24 137 rmt,N005395
973 and 85,N005395
foundation 54 185,N005395
and 42 518,N005395
11 973 and,N005395
42 518 of,N005395
21 457 and,N005395
22 264 rmt,N005395
7 55 20,N005395
chainage 11 973,N005395
chainage 21 457,N005395
karur city karur,N005395
85 738 of,N005395
bhardwaj karur department,N005395
and 85 738,N005395
engineer nandini bhardwaj,N005395
949 bid validity,N005395
mail bhardwaj karur,N005395
4 463 per,N005395
rs 4 463,N005395
735 experience of,N005395
75 646 of,N005395
and 75 646,N005395
karur city tender,N005395
inr 44 900,N005403
26 014 cr,N005403
inr 88 083,N005403
44 900 cr,N005403
0 898 cr,N005403
2 352 entry,N005403
048914 procuring entity,N005403
to wardha state,N005403
898 cr cost,N005403
25 048914 procuring,N005403
352 entry truncated,N005403
inr 26 014,N005403
2024 25 048914,N005403
88 083 cr,N005403
inr 0 898,N005403
tender inr 44,N005403
chainage 4 258,N005403
canal from jhalawar,N005403
1786 43 938,N005403
chainage 5 709,N005403
066 and 89,N005403
and 62 610,N005403
years inr 88,N005403
10 940 each,N005403
39 362 cum,N005403
56 911 sqm,N005403
70 480 of,N005403
67 837 of,N005403
and 67 837,N005403
258 and 44,N005403
43 938 cum,N005403
65 775 of,N005403
79 312 of,N005403
and 65 775,N005403
62 610 of,N005403
and 70 480,N005403
721 and 70,N005403
chainage 5 705,N005403
and 79 312,N005403
signs 39 362,N005403
jhalawar to wardha,N005403
5 709 and,N005403
4 258 and,N005403
11 014 and,N005403
finisher 10 940,N005403
chainage 11 014,N005403
5 705 and,N005403
thick 56 911,N005403
705 and 49,N005403
chainage 14 066,N005403
14 066 and,N005403
259 and 67,N005403
9 705 and,N005403
chainage 9 705,N005403
014 and 65,N005403
709 and 79,N005403
49 499 of,N005403
30 721 and,N005403
and 49 499,N005403
083 cr experience,N005403
chainage 30 721,N005403
and 44 455,N005403
44 455 of,N005403
014 cr bid,N005403
25 069698 procuring,N005411
2024 25 069698,N005411
069698 procuring entity,N005411
inr 42 907,N005411
66 934 each,N005411
class 91 136,N005411
42 907 cr,N005411
panel 93 347,N005411
64 506 sqm,N005411
91 136 rmt,N005411
61 796 sqm,N005411
22 630 cum,N005411
82 971 litre,N005411
inr 94 595,N005411
58 303 mt,N005411
56 370 rmt,N005411
93 347 cum,N005411
mail mukherjee mahbubnagar,N005411
27 140 mt,N005411
jointing 26 985,N005411
inr 60 000,N005411
pit 58 303,N005411
08726 823333 electronic,N005411
28 109 each,N005411
thick 28 109,N005411
foundation 27 140,N005411
mahbubnagar telephone 08726,N005411
823333 electronic mail,N005411
telephone 08726 823333,N005411
94 595 cr,N005411
mukherjee mahbubnagar rural,N005411
material 66 934,N005411
26 985 rmt,N005411
25 778 sqm,N005411
signs 82 971,N005411
harshavardhan mukherjee rural,N005411
beads 77 022,N005411
mm 20 037,N005411
1786 64 506,N005411
windows 56 370,N005411
bitumen 61 796,N005411
60 000 cr,N005411
trenching 25 778,N005411
structures 22 630,N005411
works harshavardhan mukherjee,N005411
336 and 49,N005411
foundation 19 250,N005411
19 250 rmt,N005411
907 cr bid,N005411
56 739 of,N005411
77 022 rmt,N005411
31 251 and,N005411
chainage 31 251,N005411
and 56 739,N005411
inr 1 200,N005411
200 cr cost,N005411
1 200 cr,N005411
and 80 620,N005411
709 and 52,N005411
in mahbubnagar municipal,N005411
64 264 of,N005411
and 85 716,N005411
mahbubnagar municipal area,N005411
and 70 303,N005411
road 2024 47411,N005419
2024 47411 procuring,N005419
47411 procuring entity,N005419
ward 28 banaskantha,N005419
28 banaskantha name,N005419
97 351 cum,N005419
3 42 30,N005419
05464 325943 electronic,N005419
82 912 litre,N005419
trenching 63 477,N005419
18 890 rmt,N005419
16 728 quintal,N005419
foundation 64 861,N005419
and 43 667,N005419
class 18 890,N005419
transformer 72 314,N005419
chainage 17 602,N005419
4 04 55,N005419
96 572 each,N005419
material 80 231,N005419
34 165 mt,N005419
895 and 43,N005419
17 602 and,N005419
325943 electronic mail,N005419
finisher 16 728,N005419
banaskantha ward 28,N005419
mm 82 912,N005419
windows 81 463,N005419
73 340 each,N005419
21 80 727,N005419
56 740 of,N005419
43 667 of,N005419
and 54 760,N005419
43 061 rmt,N005419
beads 73 340,N005419
telephone 05464 325943,N005419
jointing 43 061,N005419
55 035 experience,N005419
bitumen 96 572,N005419
602 and 79,N005419
banaskantha telephone 05464,N005419
surfaces 37 999,N005419
32 762 rmt,N005419
80 231 quintal,N005419
wiring 73 596,N005419
69 266 quintal,N005419
54 760 of,N005419
63 477 mt,N005419
and 56 740,N005419
thick 32 762,N005419
signs 34 165,N005419
81 463 quintal,N005419
64 861 litre,N005419
80 727 bid,N005419
37 999 mt,N005419
04 55 035,N005419
section 97 351,N005419
kavitha chattopadhyay road,N005419
2 21 80,N005419
939 and 56,N005419
24 895 and,N005419
42 30 000,N005419
and 79 120,N005419
engineer kavitha chattopadhyay,N005419
25321 procuring entity,N005427
jal 2025 25321,N005427
2025 25321 procuring,N005427
boudh telephone 07878,N005427
31 12 659,N005427
43 451 each,N005427
27 68 255,N005427
51 619 cum,N005427
wiring 17 448,N005427
68 917 quintal,N005427
909990 electronic mail,N005427
68 255 bid,N005427
foundation 43 451,N005427
70 906 cum,N005427
beads 54 790,N005427
711 and 41,N005427
panel 68 917,N005427
telephone 07878 909990,N005427
17 448 each,N005427
jayanthi sahasrabuddhe jal,N005427
chainage 12 711,N005427
foundation 51 619,N005427
12 659 experience,N005427
material 70 906,N005427
12 711 and,N005427
1 31 12,N005427
mail sahasrabuddhe boudh,N005427
25 573 each,N005427
54 790 cum,N005427
transformer 25 573,N005427
sahasrabuddhe boudh jal,N005427
and 41 653,N005427
41 653 of,N005427
07878 909990 electronic,N005427
structures 70 145,N005427
424 and 76,N005427
70 145 litre,N005427
807 and 64,N005427
chainage 14 807,N005427
and 64 595,N005427
76 800 of,N005427
14 807 and,N005427
and 76 800,N005427
64 595 of,N005427
shakti department boudh,N005427
boudh jal gov,N005427
chainage 10 424,N005427
10 424 and,N005427
rs 27 68,N005427
659 experience of,N005427
1 52 000,N005427
rs 76 10,N005427
building at boudh,N005427
rs 3 660,N005427
3 660 per,N005427
2024 32238 name,N005435
at anand urba,N005435
urba 2024 32238,N005435
anand urba 2024,N005435
2024 32238 procuring,N005435
32238 procuring entity,N005435
32238 name of,N005435
choudhury anand urban,N005435
69 733 litre,N005435
retaining structures 185,N005435
5 783 cum,N005435
6 324 cum,N005435
spoil 65 175,N005435
83 285 rmt,N005435
pit 69 733,N005435
bitumen 67 924,N005435
telephone 09398 365802,N005435
73 88 153,N005435
anand telephone 09398,N005435
section 82 243,N005435
material 6 324,N005435
65 228 litre,N005435
52 13 50,N005435
staging 75 985,N005435
82 243 mt,N005435
29 73 88,N005435
87 771 each,N005435
mm 39 717,N005435
19 339 litre,N005435
19 135 sqm,N005435
75 985 rmt,N005435
13 50 391,N005435
9 522 and,N005435
rs 52 13,N005435
panel 80 613,N005435
foundation 65 228,N005435
driver 24 992,N005435
class 19 339,N005435
foundation 19 135,N005435
will execute 547,N005435
jointing 87 771,N005435
37 461 litre,N005435
88 628 sqm,N005435
65 175 sqm,N005435
chainage 9 522,N005435
09398 365802 electronic,N005435
trenching 83 285,N005435
beads 5 783,N005435
365802 electronic mail,N005435
67 924 rmt,N005435
finisher 37 461,N005435
structures 185 mt,N005435
88 153 bid,N005435
mail choudhury anand,N005435
80 613 cum,N005435
14 380 litre,N005435
24 992 sqm,N005435
50 391 experience,N005435
transformer 14 380,N005435
thick 88 628,N005435
57 597 of,N005435
suryakant choudhury urban,N005435
and 57 597,N005435
45 350 of,N005435
83389 procuring entity,N005443
wate 2024 83389,N005443
2024 83389 procuring,N005443
will execute 40,N005443
45 065 experience,N005443
78 567 bid,N005443
4 03 45,N005443
08 78 567,N005443
1 08 78,N005443
2 98 40,N005443
03 45 065,N005443
dandekar fatehpur water,N005443
40 530 cum,N005443
mail dandekar fatehpur,N005443
beads 40 530,N005443
trenching 31 422,N005443
finisher 96 105,N005443
22 622 litre,N005443
fatehpur telephone 06245,N005443
wiring 22 622,N005443
thick 80 895,N005443
structures 33 500,N005443
telephone 06245 886324,N005443
31 422 cum,N005443
16 253 each,N005443
spoil 14 782,N005443
886324 electronic mail,N005443
15 558 sqm,N005443
96 105 each,N005443
signs 30 100,N005443
staging 16 253,N005443
mm 15 558,N005443
meenakshi dandekar water,N005443
14 782 cum,N005443
transformer 25 110,N005443
25 110 quintal,N005443
06245 886324 electronic,N005443
5 97 000,N005443
8 121 and,N005443
chainage 8 121,N005443
windows 27 768,N005443
and 80 464,N005443
775 and 56,N005443
80 464 of,N005443
and 66 883,N005443
66 883 of,N005443
material 57 794,N005443
27 768 rmt,N005443
pit 30 272,N005443
30 272 cum,N005443
121 and 66,N005443
commissioner meenakshi dandekar,N005443
rs 4 03,N005443
67 298 of,N005443
64 471 of,N005443
and 85 732,N005443
and 85 363,N005443
063 and 42,N005443
and 64 471,N005443
18 819 and,N005443
249 and 64,N005443
57 794 quintal,N005443
85 732 of,N005443
and 67 298,N005443
19314011 experience of,N005451
years 19314011 experience,N005451
deposit 259000 cost,N005451
reference number 00075073,N005451
00075073 procuring entity,N005451
than 7525580 bid,N005451
12940000 earnest money,N005451
municipal area 00075073,N005451
number 00075073 procuring,N005451
7525580 bid validity,N005451
money deposit 259000,N005451
baran the contrac,N005451
financial years 19314011,N005451
less than 7525580,N005451
tender 12940000 earnest,N005451
to tender 12940000,N005451
00075073 name of,N005451
area 00075073 name,N005451
259000 cost of,N005451
400 and 89,N005451
79 681 of,N005451
and 51 584,N005451
and 89 190,N005451
724 and 51,N005451
and 79 681,N005451
51 584 of,N005451
277 and 79,N005451
22 724 and,N005451
89 190 of,N005451
chainage 22 724,N005451
chainage 19 277,N005451
19 277 and,N005451
chainage 35 400,N005451
35 400 and,N005451
baran municipal area,N005451
in baran municipal,N005451
lighting in baran,N005451
authority baran district,N005451
development authority baran,N005451
66 703 mt,N005459
mm 62 761,N005459
15 856 sqm,N005459
51 863 each,N005459
and 61 159,N005459
chainage 19 074,N005459
trenching 11 292,N005459
65 439 quintal,N005459
transformer 83 162,N005459
107 82 lakh,N005459
83 162 litre,N005459
wiring 66 703,N005459
31 927 and,N005459
39 511 quintal,N005459
64 421 sqm,N005459
19 074 and,N005459
31803 25 procuring,N005459
309 65 lakh,N005459
28 422 quintal,N005459
driver 65 439,N005459
material 22 368,N005459
151 10 lakh,N005459
62 108 mt,N005459
61 159 of,N005459
signs 28 422,N005459
rs 151 10,N005459
36 279 rmt,N005459
thick 50 980,N005459
finisher 39 511,N005459
12 433 rmt,N005459
31803 25 name,N005459
road 31803 25,N005459
jointing 30 043,N005459
22 368 sqm,N005459
class 15 856,N005459
11 292 rmt,N005459
structures 51 863,N005459
